epoch,loss,mse_train,mse_test
1,59.808885811056776,0.11908287624909131,0.11578341079442461
2,1.0421413101539112,0.1117283325719269,0.10861217959150679
3,0.9237184246108157,0.11075173035457034,0.10767574319661789
4,0.907903237118301,0.11022016695605136,0.10717014221923146
5,0.8998002166503954,0.1080123033502723,0.10501059622161849
6,0.890705369891196,0.10722505938321221,0.10424694556072905
7,0.8811603260071741,0.10683163739681648,0.1038889501875434
8,0.8743980321338867,0.10550574621923468,0.1025931099598
9,0.8693767412733331,0.10546237521311835,0.10256369286896859
10,0.8735794543288861,0.10556084831645521,0.10266390198012816
11,0.8895912769556272,0.10297340394831044,0.10011961454369601
12,0.9738155222103045,0.10502936181673388,0.10213496713743352
13,0.8818643705449514,0.1019511161831984,0.09910394801138663
14,0.8616317606687159,0.10422128594579931,0.1013552053155697
15,0.9109605366233023,0.10009021699214152,0.09727995074111394
16,0.8441929705024572,0.09935461568055595,0.09655563150078136
17,1.147447833557603,0.10169790266539787,0.09887751255672649
18,0.88067069359747,0.0988542696332763,0.09604443243114069
19,0.8137858158467851,0.09709977577405272,0.09435046820482844
20,0.8031532162549048,0.09616149203122844,0.09343874790405612
21,0.8016429645276034,0.0950576797181972,0.09236708403421462
22,0.792843643284871,0.09399433494809839,0.09133584805769861
23,0.7856330344615221,0.09324297350696092,0.09058618825183455
24,0.7777268529088267,0.09162055684504336,0.08899401301351823
25,0.7750607643192434,0.09095285370334245,0.08834864177112138
26,0.7693337587411248,0.09072530628811623,0.0881510307383341
27,0.90379751691139,0.09468242403961426,0.09202114077719073
28,2.1279157681880223,0.09626400402041707,0.09344094109611217
29,0.8946011551542458,0.09502687775650123,0.09231516534581485
30,0.7872514658188327,0.09368470105896684,0.09101863783713053
31,0.7738440273305779,0.09167620248615835,0.08906208126631618
32,0.7664927206995114,0.09024229082615344,0.08766542801402233
33,0.7569129928629719,0.08919975968363059,0.086656607159476
34,0.7501529168097564,0.08805288892963935,0.08553668781431559
35,0.7446413820360481,0.08714133021365346,0.08465787821888858
36,0.7407812120409899,0.08655468327387794,0.08408599278460487
37,0.7916835338693801,0.08612601496337151,0.08366082526041074
38,0.7368948573824782,0.0856855465493288,0.08325097894205288
39,0.7277231324374829,0.08447331114283274,0.0820652942705165
40,0.7230568955448813,0.08394814579992517,0.08154848514459491
41,0.7344109890667213,0.08299468294887077,0.08061360890267416
42,0.7193199717521845,0.08214777370025048,0.07977855410226689
43,0.8895494415000588,0.08334840235509489,0.080977583797098
44,0.7165661655280413,0.08210117762194617,0.07974623110507902
45,0.6989147917330173,0.08102643804823746,0.07869434966705423
46,0.6919105190265019,0.08009247336428378,0.07777618622878964
47,0.6847978148006223,0.07846946790134655,0.07616445270078508
48,0.6785386407268299,0.0784368223435593,0.07614570337913769
49,0.6753521769747346,0.07717646715693786,0.0748959250237664
50,0.6692501778277962,0.07591488241403538,0.07365197943587246
51,0.66180774657075,0.07495834987550747,0.07269593053008258
52,0.6715663504244015,0.07330492780358736,0.07108436883958318
53,0.9234751584392475,0.0763027515064234,0.07403460516390757
54,0.9559552775832781,0.0786504755274411,0.07634726762342399
55,0.7089841795194015,0.07463197721268743,0.07236604311677512
56,0.6449092612338669,0.07288876795321884,0.0706687653614464
57,0.6286814391261445,0.07167512488583185,0.06948415309352496
58,0.6238851328112616,0.06988607407891056,0.06770432791835693
59,0.6319892151744275,0.06900179137768875,0.06681267463438421
60,0.599378949248002,0.06761954203286588,0.06540364060661809
61,0.5870445298832889,0.0654966732447294,0.0632585251833903
62,0.5794533733626928,0.06406427430477633,0.06181206657044577
63,0.5952074202524078,0.06223476005029891,0.06000174062027109
64,0.5972803078858337,0.06098101941946499,0.05871062587646896
65,0.5680922832520432,0.06071325450066391,0.05841268109031082
66,0.5516235228989314,0.05940466503016315,0.057075908785781476
67,0.5683797020003438,0.05826252521423462,0.05593196075967914
68,0.7652522069163049,0.06148663315157096,0.05922375332742381
69,0.5701507565426979,0.058829759944090954,0.056508878404229586
70,0.5337541824610579,0.05698701531688034,0.05459612836047441
71,0.5244962143796565,0.056021083770997196,0.053587862468003046
72,0.518858992634189,0.05476694257810636,0.05229230421019092
73,0.5166269152277579,0.05439783183801092,0.05192522212787471
74,0.5123890765538993,0.053597847824877684,0.051095241886461855
75,0.5106764764022136,0.053524293055612265,0.051003433071195356
76,0.505063108947412,0.053099645282104334,0.05058172911476969
77,0.5067472059976088,0.05285494121993918,0.05035676322837282
78,0.6763334694882969,0.05516799640047736,0.052813628812017684
79,0.5706904956532559,0.05496880826515734,0.052565659334024434
80,0.5155972545406378,0.052781694132035026,0.05035324158782891
81,0.4952159508094265,0.052537127569283464,0.050084417972457135
82,0.4870704887439733,0.051132419426498085,0.04865747032836726
83,0.4822656088865982,0.050600953714875364,0.04811870940536262
84,0.4762917996496262,0.049814256757575025,0.04732720635099599
85,0.4727793089771563,0.05004142601716056,0.047591197724601526
86,0.4670081360703306,0.0486014809136453,0.046122268811443295
87,0.4736561726450499,0.04908367510240472,0.046665884469523806
88,0.6828892334304851,0.05343012819430384,0.0511488562656034
89,0.47463332922132523,0.049107640141457014,0.046740002155883954
90,0.4539214453463184,0.047741655422006646,0.04532269775671461
91,0.44060963585290525,0.04636958401298849,0.04402736782222841
92,0.43734633449699534,0.04577866052005598,0.04342894122638219
93,0.4223793874158105,0.044183666130686736,0.04189186520569263
94,0.4123096895692637,0.04282013435319415,0.040510172434963146
95,0.3999797438956106,0.04153971472273968,0.03927313797953584
96,0.38803652673161226,0.0402453661657745,0.03794540040184638
97,0.4237110403397188,0.042728158288031295,0.040588839749572635
98,0.3898558418549464,0.0381243369708777,0.03581825428832854
99,0.3749306774418791,0.03788220829537647,0.03558648647773772
100,0.3693443044916768,0.036826681527084945,0.03452974645894392
101,0.35826006665735666,0.035824667612448395,0.033534657372773814
102,0.351040389205799,0.0355017852167481,0.033136740912606384
103,0.3377411075433277,0.03501751113382574,0.03264988046658909
104,0.3528930358736421,0.03430402222688683,0.03201517815048889
105,0.34377930732010514,0.034049761316493864,0.03170103642800719
106,0.3450297920516063,0.03285019079077837,0.030512670461803535
107,0.33740007246049486,0.033285176123105116,0.03090917589427734
108,0.3436107374849314,0.03304141831992039,0.03072250243583561
109,0.35124485796415295,0.03206271252929956,0.02983683883496644
110,0.3331548512087767,0.03217945334877855,0.02980811109332958
111,0.30794844897342766,0.03171416186727445,0.029311941849090892
112,0.3163596285911861,0.03112521945228606,0.028798918486016314
113,0.30788151803038677,0.03160194288352165,0.029194320012485894
114,0.30110637587249844,0.030757822365862584,0.028390493560890274
115,0.3160739455707327,0.03009100005671153,0.02775198251171615
116,0.2983231790073323,0.029963199521657016,0.02764093561111777
117,0.2989245739593293,0.03014890335914654,0.027850807017274017
118,0.29754789510578,0.02860125610269993,0.02636575130353938
119,0.2809149766249267,0.028544434605421973,0.02631694816577011
120,0.27870741969313567,0.028176539468326954,0.02597792729901095
121,0.2960411039195922,0.028181653346825892,0.025978082307139463
122,0.2704280127224974,0.027332288911733102,0.02517111969305646
123,0.32163517756277354,0.02810991355044834,0.025977607597428305
124,0.2690937724264732,0.02633022595077692,0.024223877608152634
125,0.2589197934173683,0.025441520251680984,0.023417939627049866
126,0.2725003365534096,0.026445574823085728,0.024510062791547115
127,0.3282055578771318,0.029471259973525815,0.02730957122897576
128,0.2986605666889193,0.025287504693633667,0.023314604406563036
129,0.2521100564469511,0.02417127928681402,0.02226809962735289
130,0.2405040511456967,0.023657681180557465,0.02179462680888809
